2026-03-29 13:05:08.184 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists refresh_token drop constraint if exists UKkdj16cltjxdksuyiosdhliveg
2026-03-29 13:05:08.187 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists refresh_token add constraint UKkdj16cltjxdksuyiosdhliveg unique (token_hash)
2026-03-29 13:05:08.199 INFO  [traceId= userId=] [restartedMain] p6spy : 10 ms | statement | connection 4 | alter table if exists role drop constraint if exists UKiubw515ff0ugtm28p8g3myt0h
2026-03-29 13:05:08.202 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role add constraint UKiubw515ff0ugtm28p8g3myt0h unique (role_name)
2026-03-29 13:05:08.205 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role drop constraint if exists UK872xec3woupu3gw59b04pj3sa
2026-03-29 13:05:08.206 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role add constraint UK872xec3woupu3gw59b04pj3sa unique (user_id, role_id)
2026-03-29 13:05:08.208 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK8mkeyj0y8gx4ngt7i50q4rxgg
2026-03-29 13:05:08.210 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users add constraint UK8mkeyj0y8gx4ngt7i50q4rxgg unique (provider, provider_subject)
2026-03-29 13:05:08.211 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK6dotkott2kjsp8vw4d0m25fb7
2026-03-29 13:05:08.213 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users add constraint UK6dotkott2kjsp8vw4d0m25fb7 unique (email)
2026-03-29 13:05:08.221 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."role" where 1=0
2026-03-29 13:05:08.225 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."users" where 1=0
2026-03-29 13:05:09.735 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 5 | select fe1_0.function_id,fe1_0.created_at,fe1_0.created_by,fe1_0.level_value,fe1_0.parent_function_id,fe1_0.program_id,fe1_0.sort_order,fe1_0.system_type_code,fe1_0.updated_at,fe1_0.updated_by,fe1_0.use_yn from function fe1_0 where fe1_0.use_yn='Y'
2026-03-29 13:05:13.479 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 6 | select rhe1_0.id,rhe1_0.child_role,rhe1_0.parent_role from role_hierarchy rhe1_0
2026-03-29 13:05:18.504 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 7 | select r1_0.id,r1_0.description,r1_0.role_name from role r1_0 where r1_0.role_name='ROLE_USER'
2026-03-29 13:05:18.507 INFO  [traceId= userId=] [scheduling-1] p6spy : 0 ms | statement | connection 8 | select ml1_0.id,ml1_0.content,ml1_0.created_at,ml1_0.error_message,ml1_0.mail_type,ml1_0.max_retry_count,ml1_0.recipient,ml1_0.retry_count,ml1_0.sent_at,ml1_0.status,ml1_0.subject,ml1_0.updated_at from mail_log ml1_0 where ml1_0.status='FAIL' and ml1_0.retry_count<ml1_0.max_retry_count order by ml1_0.created_at
2026-03-29 13:05:18.513 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 9 | select r1_0.id,r1_0.description,r1_0.role_name from role r1_0 where r1_0.role_name='ROLE_ADMIN'
2026-03-29 13:05:18.525 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 10 | select rhe1_0.id from role_hierarchy rhe1_0 where rhe1_0.parent_role='ROLE_ADMIN' and rhe1_0.child_role='ROLE_USER' fetch first 1 rows only
2026-03-29 13:06:06.824 INFO  [traceId=3cdf9e3e userId=] [http-nio-8081-exec-2] p6spy : 0 ms | statement | connection 11 | select me1_0.important_message_type_code,me1_0.language_code,me1_0.message_id,me1_0.important_message_use_yn,me1_0.message_text,me1_0.message_type,me1_0.use_yn from message me1_0 where (me1_0.important_message_type_code,me1_0.language_code,me1_0.message_id) in (('C05','ko','UNAUTHORIZED'))
